Player,Team,Position,ruATT,ruYDS,ruTDS,reREC,reYDS,reTDS,paATT,paCMP,paYDS,paTDS,INTS
Jaylen Wright,MIA,RB,101.3,424.4,2.5,10.8,74.6,0.4,0.0,0.0,0.0,0.0,0.0
Andrei Iosivas,CIN,WR,0.0,0.0,0.0,26.1,315.7,2.9,0.0,0.0,0.0,0.0,0.0
Pat Bryant,DEN,WR,0.0,0.0,0.0,26.7,329.3,2.5,0.0,0.0,0.0,0.0,0.0
K.J. Osborn,WAS,WR,0.0,0.0,0.0,28.4,314.7,2.5,0.0,0.0,0.0,0.0,0.0
MarShawn Lloyd,GB,RB,79.3,337.2,2.5,12.5,100.1,0.6,0.0,0.0,0.0,0.0,0.0
Noah Gray,KC,TE,0.0,0.0,0.0,28.7,289.6,2.6,0.0,0.0,0.0,0.0,0.0
AJ Barner,SEA,TE,0.0,0.0,0.0,30.0,281.4,2.2,0.0,0.0,0.0,0.0,0.0
Greg Dortch,ARI,WR,4.8,30.6,0.1,27.3,265.3,2.1,0.0,0.0,0.0,0.0,0.0
Anthony Miller,BAL,WR,0.0,0.0,0.0,25.1,289.3,2.5,0.0,0.0,0.0,0.0,0.0
Miles Sanders,DAL,RB,91.8,362.2,2.2,10.4,68.2,0.6,0.0,0.0,0.0,0.0,0.0
Alexander Mattison,MIA,RB,99.4,316.6,2.1,12.4,84.1,0.5,0.0,0.0,0.0,0.0,0.0
Ty Johnson,BUF,RB,45.7,208.4,1.0,15.1,165.0,1.4,0.0,0.0,0.0,0.0,0.0
Xavier Hutchinson,HOU,WR,0.0,0.0,0.0,26.1,283.0,1.9,0.0,0.0,0.0,0.0,0.0
Tim Patrick,DET,WR,0.0,0.0,0.0,23.3,296.7,2.2,0.0,0.0,0.0,0.0,0.0
Jaleel McLaughlin,DEN,RB,42.5,178.4,1.0,21.8,137.7,1.2,0.0,0.0,0.0,0.0,0.0
Malik Washington,MIA,WR,2.0,13.8,0.1,26.2,278.0,1.8,0.0,0.0,0.0,0.0,0.0
Russell Gage Jr.,SF,WR,0.0,0.0,0.0,25.1,280.8,1.9,0.0,0.0,0.0,0.0,0.0
Michael Mayer,LV,TE,0.0,0.0,0.0,27.7,257.3,1.6,0.0,0.0,0.0,0.0,0.0
Austin Hooper,NE,TE,0.0,0.0,0.0,26.9,266.5,1.5,0.0,0.0,0.0,0.0,0.0
Elic Ayomanor,TEN,WR,0.0,5.0,0.0,23.2,273.2,1.7,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,NE,RB,51.6,209.8,1.0,16.5,131.0,0.8,0.0,0.0,0.0,0.0,0.0
Foster Moreau,NO,TE,0.0,0.0,0.0,23.2,263.4,1.9,0.0,0.0,0.0,0.0,0.0
Tyler Johnson,NYJ,WR,0.0,0.0,0.0,23.2,256.9,1.7,0.0,0.0,0.0,0.0,0.0
Van Jefferson,TEN,WR,0.0,0.0,0.0,21.5,272.2,1.7,0.0,0.0,0.0,0.0,0.0
Kendrick Bourne,NE,WR,1.1,5.2,0.0,22.2,257.7,1.6,0.0,0.0,0.0,0.0,0.0
Tai Felton,MIN,WR,0.0,5.0,0.0,20.9,249.8,1.8,0.0,0.0,0.0,0.0,0.0
Dawson Knox,BUF,TE,0.0,0.0,0.0,21.9,237.9,1.9,0.0,0.0,0.0,0.0,0.0
Terrance Ferguson,LAR,TE,0.0,0.0,0.0,23.0,235.4,1.9,0.0,0.0,0.0,0.0,0.0
Chimere Dike,TEN,WR,2.1,12.3,0.0,19.9,262.4,1.6,0.0,0.0,0.0,0.0,0.0
Khalil Herbert,IND,RB,67.4,292.3,2.0,8.2,53.7,0.2,0.0,0.0,0.0,0.0,0.0
Jalen Royals,KC,WR,0.0,0.0,0.0,20.4,241.0,1.9,0.0,0.0,0.0,0.0,0.0
Christian Watson,GB,WR,2.7,13.1,0.0,15.3,283.0,1.9,0.0,0.0,0.0,0.0,0.0
Robert Woods,PIT,WR,0.0,0.0,0.0,22.5,238.5,1.6,0.0,0.0,0.0,0.0,0.0
Devin Singletary,NYG,RB,64.6,265.6,1.7,10.5,73.5,0.2,0.0,0.0,0.0,0.0,0.0
Roman Wilson,PIT,WR,0.0,0.0,0.0,20.1,254.6,1.6,0.0,0.0,0.0,0.0,0.0
Devaughn Vele,DEN,WR,0.0,0.8,0.0,21.4,230.1,1.6,0.0,0.0,0.0,0.0,0.0
Trevor Etienne,CAR,RB,50.0,206.8,1.5,11.7,93.1,0.7,0.0,0.0,0.0,0.0,0.0
Malachi Corley,NYJ,WR,2.3,25.1,0.1,20.9,217.9,1.3,0.0,0.0,0.0,0.0,0.0
KaVontae Turpin,DAL,WR,8.5,58.6,0.5,16.2,207.1,1.4,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,SF,WR,0.0,1.0,0.0,16.1,249.5,1.9,0.0,0.0,0.0,0.0,0.0
Dont'e Thornton Jr.,LV,WR,0.0,6.0,0.0,18.8,240.7,1.4,0.0,0.0,0.0,0.0,0.0
Jarquez Hunter,LAR,RB,57.1,240.7,1.9,7.8,64.0,0.4,0.0,0.0,0.0,0.0,0.0
Samaje Perine,CIN,RB,22.7,106.1,0.7,17.0,153.4,0.8,0.0,0.0,0.0,0.0,0.0
Elijah Moore,BUF,WR,0.0,1.7,0.0,20.4,222.1,1.4,0.0,0.0,0.0,0.0,0.0
Harold Fannin Jr.,CLE,TE,0.0,0.0,0.0,22.7,221.6,1.2,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,TE,0.0,125.0,2.0,12.7,108.0,0.7,0.0,0.0,0.0,0.0,0.0
Rondale Moore,MIN,WR,8.6,38.2,0.0,19.4,199.9,1.3,0.0,0.0,0.0,0.0,0.0
Emanuel Wilson,GB,RB,60.1,253.5,1.7,7.9,56.9,0.3,0.0,0.0,0.0,0.0,0.0
Ben Sinnott,WAS,TE,0.0,0.0,0.0,20.9,202.7,1.6,0.0,0.0,0.0,0.0,0.0
Kalif Raymond,DET,WR,0.0,4.0,0.0,18.6,234.4,1.6,0.0,0.0,0.0,0.0,0.0
Jermaine Burton,CIN,WR,0.0,2.0,0.0,17.6,232.5,1.6,0.0,0.0,0.0,0.0,0.0
Keaton Mitchell,BAL,RB,64.7,260.6,1.4,7.5,73.1,0.2,0.0,0.0,0.0,0.0,0.0
Luke McCaffrey,WAS,WR,0.0,1.3,0.0,19.9,209.8,1.4,0.0,0.0,0.0,0.0,0.0
David Sills,ATL,WR,0.0,0.0,0.0,18.7,208.3,1.6,0.0,0.0,0.0,0.0,0.0
Jake Bobo,SEA,WR,0.0,0.0,0.0,18.6,215.4,1.5,0.0,0.0,0.0,0.0,0.0
Treylon Burks,TEN,WR,1.0,5.5,0.0,17.6,219.2,1.3,0.0,0.0,0.0,0.0,0.0
Jeremy Ruckert,NYJ,TE,0.0,0.0,0.0,20.8,182.8,1.3,0.0,0.0,0.0,0.0,0.0
Tommy Tremble,CAR,TE,0.0,0.0,0.0,18.8,182.4,1.7,0.0,0.0,0.0,0.0,0.0
Luke Musgrave,GB,TE,0.0,0.0,0.0,19.1,186.7,1.4,0.0,0.0,0.0,0.0,0.0
Zay Jones,ARI,WR,0.0,2.0,0.0,18.1,192.6,1.4,0.0,0.0,0.0,0.0,0.0
Jahan Dotson,PHI,WR,0.0,1.7,0.0,17.3,200.3,1.3,0.0,0.0,0.0,0.0,0.0
JuJu Smith-Schuster,KC,WR,0.0,0.0,0.0,18.0,190.0,1.2,0.0,0.0,0.0,0.0,0.0
Elijah Mitchell,KC,RB,54.7,204.8,1.4,7.7,43.9,0.4,0.0,0.0,0.0,0.0,0.0
Will Shipley,PHI,RB,37.4,199.5,1.3,7.6,55.4,0.4,0.0,0.0,0.0,0.0,0.0
A.J. Dillon,PHI,RB,58.9,221.4,1.8,5.2,41.8,0.2,0.0,0.0,0.0,0.0,0.0
Tory Horton,SEA,WR,0.0,0.0,0.0,16.1,199.7,1.1,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,PIT,RB,39.2,161.5,1.2,10.4,81.3,0.4,0.0,0.0,0.0,0.0,0.0
Jalin Hyatt,NYG,WR,0.0,0.0,0.0,14.9,209.5,1.1,0.0,0.0,0.0,0.0,0.0
Zamir White,LV,RB,54.9,186.9,1.1,8.8,63.3,0.3,0.0,0.0,0.0,0.0,0.0
Josh Whyle,TEN,TE,0.0,0.0,0.0,18.5,170.2,1.0,0.0,0.0,0.0,0.0,0.0
